Adrresse,Prix,Ville,Region,Chambres,Salles de bain,Salles d'eau,Etages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
rue des Sarcelles - Projet Beaulieu-Sur-Lac,75 000 $,St-Jean-De-Matha,Lanaudière,,,,,,"48,000 ",,,,
"46, rang St-Anselme",75 000 $,St-Magloire-De-Bellechasse,Chaudière-Appalaches,,,,,,"93,000 ",,,,
"427, rue Principale",75 000 $,Portneuf-sur-mer,Côte-Nord,,1,,1,,"25,524.46 ",,,,
rue Nantel,75 000 $,Labelle,Laurentides,,,,,,"21,792 ","360,00 $",,,
rue des Trilles,75 000 $,La Conception,Laurentides,,,,,,"17,206 ",,,,
"10, rue de l'Église",75 000 $,St-Marc-Du-Lac-Long,Bas-Saint-Laurent,3,2,,2,968.75 ,"7,771 ","1 875,00 $","200,00 $","1 200,00 $",
"2782, rue Saint-Pierre",75 000 $,St-Maurice,Mauricie,,,,,,"51,000 ","77,00 $",,,
", boulevard de Douglas",75 000 $,Gaspé,Gaspésie-Îles-de-la-Madeleine,,,,,,"161,200 ",,,,
chemin de la Maison de Pierre - Domaine Modernätur,75 000 $,Mont-Tremblant,Laurentides,,,,,,"51,000 ",,,,
"., Sortie des Commissaires",75 000 $,St-Gilles,Chaudière-Appalaches,,,,,,,,,,
"4222, sentier du Lac du Moulin",75 000 $,La Baie,Saguenay-Lac-Saint-Jean,1,1,,1,240 ,"8,000 ","1 020,82 $","41,64 $","411,24 $","297,00 $"
rue Bellevue,75 735 $,St-Anselme,Chaudière-Appalaches,,,,,,,,,,
avenue des Capucins,77 900 $,Chertsey,Lanaudière,,,,,,43 056 ,,,,
"898, boulevard Saguenay Ouest",78 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,,,,,,"11,115.9 ","946,00 $",,,
"2418, chemin Lac Quenouille",78 000 $,Lac-Superieur,Laurentides,,,,,,236.22x200.13 ,"280,00 $","70,00 $",,
"226, chemin Pierre-De-Sales",78 900 $,Les Éboulements,Charlevoix,,,,,,"26,184.29 ","737,00 $","39,54 $",,
"9-1078, rue Sainte-Julie",79 000 $,Trois-Rivières (Trois-Rivières),Mauricie,1,1,,3,365.97 ,53.11 ,"1 235,32 $","322,00 $",,
Lot 6 392 817 rue du Patelin,79 000 $,St-Edmond-De-Grantham,Centre-du-Québec,,,,,,"32,558 ",,,,
Route 141,79 000 $,Coaticook,Estrie,,,,,,"49,449.40 ",,,,
"171, rue Sainte-Cécile",79 000 $,Alma,Saguenay-Lac-Saint-Jean,,,,,,"10,672.41 ",,,,
"50, rue des Côteaux",79 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,"61,171 ",,,,
"5430, rue du Plateau Clément Fleury",79 376 $,Alma,Saguenay-Lac-Saint-Jean,,,,,,"9,922 ",,,,
7e rue du lac Doucet,79 500 $,ND-Du-Mont-Carmel,Mauricie,,,,,,"149,656.03 ","451,35 $",,,
montée de la Source,79 500 $,Ste-Agathe-Des-Monts,Laurentides,,,,,,98.43x216.54 ,"103,45 $",,,
"1, rue Michaud",79 850 $,Val-David,Laurentides,,,,,,106 412 ,,,,
rue Doris,79 900 $,Ste-Julienne,Lanaudière,,,,,,"33,000 ",,,,
chemin du Castor,79 900 $,St-Adolphe-D'Howard,Laurentides,,,,,,"43,152 ",,,,
"62, rue Viel",80 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,,,,,,"22,005.74 ",,,,
"222, rue de la Gratitude",80 000 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,,,,,,"43,217 ","382,84 $",,,
rue des Aulnes / rue des Cormiers- Domaine de Boissel - Par A.G.P Couture et Fils inc.,80 000 $,Beaumont,Chaudière-Appalaches,,,,,,"3,562 ",,,,
Projet Évasion Plein-Air La Minerve - chemin Dusseault,80 000 $,La Minerve,Laurentides,,,,,,"57,000 ",,,,
Domaine du Lac Boréal,80 000 $,St-Gilles,Chaudière-Appalaches,,,,,,7 750 ,,,,
rue de la Samare - Hameau d'Orford,80 000 $,Eastman,Estrie,,,,,,"86,111.28 ",,,,
Chemin des Loutres,80 000 $,Jonquière (Shipshaw),Saguenay-Lac-Saint-Jean,,,,,,"20,000 ",,,,
"56, 2e Rang",80 000 $,St-Raphael,Chaudière-Appalaches,2,1,,1,856 ,41 846.81 ,"1 093,30 $","64,64 $",,
"168, chemin Gaudreau",82 500 $,Notre-Dame-Des-Bois,Estrie,,,,,,"41,603 ","425,37 $","14,89 $",,
"4974, rue des Peupliers",83 000 $,La Doré,Saguenay-Lac-Saint-Jean,4,3,,,,"11,115.89 ","5 124,80 $","108,00 $","2 700,00 $","3 500,00 $"
Lot 6 392 819 rue Notre-Dame-De-Lourdes,84 000 $,St-Edmond-De-Grantham,Centre-du-Québec,,,,,,"36,108 ",,,,
rue de la Grande-Côte,84 500 $,St-André-D'Argenteuil,Laurentides,,,,,,"32,291.73 ","282,74 $","7,09 $",,
7e Rang Est,84 500 $,Ste-Anne-Du-Lac,Laurentides,,,,,,"50,000 ",,,,
"52, chemin Gisèle",84 500 $,Notre-Dame-Des-Bois,Estrie,1,1,,1,,"33,000.00 ",,,,
"891, rue Ministuk",84 500 $,Lac-Ministuk,Saguenay-Lac-Saint-Jean,,,,,,"58,063.5 ",,,,
", rue des Cardinaux",85 000 $,Rawdon,Lanaudière,,,,,,"43,000 ","868,83 $","34,39 $",,
"4, rue Principale",85 000 $,La Reine,Abitibi-Témiscamingue,4,1,,1,"1,041 ","6,500 ","704,00 $","158,00 $",,"2 640,00 $"
chemin de la Maria-Lucia,85 000 $,Petite-Rivière-St-François,Charlevoix,,,,,,"82,796.00 ",,,,
Chemin Masson,85 000 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,,,,,,"67,512 ",,,,
chemin Lac Creux,85 000 $,Mandeville,Lanaudière,,,,,,"65,073.22 ","205,45 $",,,
"47, chemin du Lac-Clair",85 000 $,Val-Des-Monts,Outaouais,,,,,,"39,684.39 ",,,,
"140, 10 et 11e rang",85 000 $,Inverness,Centre-du-Québec,,,,,,"155,186,856,471.77 ",,,,
"76-78, rue des Pivoines",85 000 $,Rivière-Du-Loup,Bas-Saint-Laurent,,,,,,"8,687.55 ","1 915,60 $","34,00 $",,
"0, rue Saint-Pierre",85 700 $,La Baie,Saguenay-Lac-Saint-Jean,,,,,,48.06x111.81 ,,,,
"164, chemin Jeannot + Gaudreau",86 000 $,Notre-Dame-Des-Bois,Estrie,,,,,,"4,413.20 ",,"15,00 $",,
138e rue,87 352 $,St-Georges,Chaudière-Appalaches,,,,,,,,,,
Boisbriand Quartier Accueillant - Par Gestion Fauvel,87 400 $,Drummondville (Drummondville),Centre-du-Québec,,,,,,"6,030 ",,,,
"400, rue des Pins",87 500 $,ND-De-Montauban,Mauricie,,,,,,"306,185.48 ","79,00 $",,,
788A-788 rue Commercial Nord,88 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,3,,,,,"2,352.34 ","2 619,68 $","303,90 $",,
rue Henri,89 000 $,Rawdon,Lanaudière,,,,,,"76,872.6 ","588,99 $",,,
"4070, montée des Chalets",89 000 $,Mont-Laurier,Laurentides,,,,,,"220,344.78 ",,,,
Lot 6 392 820 rue du Patelin,89 000 $,St-Edmond-De-Grantham,Centre-du-Québec,,,,,,"48,631 ",,,,
"74, rue Gilles",89 000 $,Déléage,Outaouais,,,,,,"87,875.49 ","358,83 $",,,
"185, rue Saint-Michel-Archange",89 000 $,Sherbrooke (St-Élie-d'Orford),Estrie,,,,,,"7,740 ",,,,
rue J.-Alexandre-Chevron,89 000 $,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,,,,,,6 245 ,,,,
", route d'Irlande",89 000 $,Percé,Gaspésie-Îles-de-la-Madeleine,,,,,,"565,105.30 ","175,00 $","175,00 $",,
"10, montée du Belvédère",89 000 $,La Pêche (Alcove),Outaouais,,,,,,"43,560.00 ",,,,
"24 A, chemin du Lac Bertrand",89 000 $,Ferme-Neuve,Laurentides,,,,,,36 000 ,"517,32 $","20,59 $",,
route 117 Nord,89 205 $,Mont-Blanc (St-Faustin-Lac-Carré),Laurentides,,,,,,660x150 ,"500,00 $",,,
", rue Jean-Baptiste-Delorme",89 500 $,Trois-Rivières (Trois-Rivières),Mauricie,,,,,,"8,992.17 ","376,98 $","51,84 $",,
"519, rue Lamontagne",89 500 $,St-Prime,Saguenay-Lac-Saint-Jean,,,,,,"39,375 ",,,,
"2151, chemin de la Réserve",89 500 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,,,,,,72.38x120.01 ,"1 022,75 $","31,83 $",,
"15, rue Ernest",89 900 $,Cabano,Bas-Saint-Laurent,,,,,,118x131 ,"644,11 $","7,69 $",,
"645, route Principale",89 900 $,Val-Des-Monts,Outaouais,,,,,,"208,695.00 ",,,,
"1, chemin du Ruisseau",89 900 $,St-Donat,Lanaudière,,,,,,"44,089 ",,,,
", rue Chamonix-Ouest",89 900 $,Cantley,Outaouais,,,,,,"45,768 ","364,35 $",,,
"714-716, chemin du Royaume-des-Cèdres",89 950 $,St-Bruno-de-Guigues,Abitibi-Témiscamingue,,,,,,"15,355.79 ","109,65 $",,,
", chemin du Rivage",90 000 $,Isle-Aux-Grues,Chaudière-Appalaches,,,,,,"43,252.62 ","641,24 $","117,70 $",,
"956 à 996, avenue Bergeron",90 000 $,St-Agapit,Chaudière-Appalaches,,,,,,"15,000 ",,,,
rue des Campanules,90 000 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,,,,,,"35,506 ",,,,
"645, rue St-Charles Sud",90 000 $,Granby,Estrie,,,,,,"5,750 ",,,,
Domaine Albert-Rousseau - rue Fontainebleau - Par Construction Maurice Bilodeau,90 000 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),,,,,,"5,425 ",,,,
"593, rue Principale",90 000 $,Rivière-Éternité,Saguenay-Lac-Saint-Jean,4,1,1,2,,"10,936.13 ","1 689,80 $","48,65 $",,
"256, chemin Louise",90 000 $,Lac-Superieur,Laurentides,,,,,,"55,952 ","360,00 $","32,00 $",,
"5451, rue du Pont Nord",90 000 $,Alma,Saguenay-Lac-Saint-Jean,3,1,1,2,"1,456 ","6,609.04 ","1 201,00 $",,,
rue de la Rivière,90 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,"43,968 ",,,,
rue de la Grande-Ourse,90 000 $,St-Ours,Montérégie (Rive-Sud Montréal),,,,,,"7,615 ",,,,
9e rang de Saint-Jogues,90 000 $,St-Jogues,Gaspésie-Îles-de-la-Madeleine,,,,,,"4,356,000.01 ",,,,
Éco-Nature Domaine Inspiré - Par Gestion Fauvel,90 500 $,Trois-Rivières (Pointe-Du-Lac),Mauricie,,,,,,"8,620 ",,,,
"689, monté Giroux",92 000 $,Laverlochère-Angliers,Abitibi-Témiscamingue,,,,,,"35,413 ",,,,
rue de la Samare,92 000 $,Eastman,Estrie,,,,,,"55,832.40 ",,"10,00 $",,
"41, chemin Bellevue Est",92 500 $,Cap-St-Ignace,Chaudière-Appalaches,,,,,,"250,000 ","1 056,00 $","94,82 $",,
"19, rue Saint-Victor",92 954 $,Matane,Bas-Saint-Laurent,,,,,,"42,836 ","45,12 $",,,
rue du Couvent,92 995 $,St-Just-De-Bretenieres,Chaudière-Appalaches,,,,,,2 670 228.01 ,"695,40 $","42,73 $",,
"78, rue des Épinettes",94 000 $,Lebel-Sur-Quevillon,Nord-du-Québec,3,1,,1,964 ,"7,505.67 ","1 700,00 $","47,00 $",,
"X, rue du Faisan",94 500 $,Magog,Estrie,,,,,,"9,200.9 ","107,46 $",,,
"4, rue de l'Ambassadeur",94 500 $,Victoriaville,Centre-du-Québec,,,,,,"22,293 ",,,,
rue Bernard Fillion,94 500 $,Chertsey,Lanaudière,,,,,,"36,350 ",,,,
"3090, avenue du Lac-Clermoustier",95 000 $,Chertsey,Lanaudière,,,,,,"55,400 ",,,,
"2550, boulevard des Iles",95 000 $,Entrelacs,Lanaudière,,,,,,"55,372 ","226,06 $",,,
"., rue du Pont - Par Construction Lebour",95 000 $,St-Lambert-De-Lauzon,Chaudière-Appalaches,,,,,,,,,,
chemin de la Montagne - Les Sommets Boisés,95 000 $,Lac-Des-Seize-Iles,Laurentides,,,,,,"46,284.81 ",,,,
"75, rang du Ruisseau des Frênes, La Malbaie",95 000 $,La Malbaie,Charlevoix,,,,,,"215,278.21 ",,,,
"426X, rue du Bonheur",95 000 $,Ste-Julienne,Lanaudière,,,,,,"42,185 ","827,25 $",,,
"13-6345235, rue de la Rosée-des-Bois",95 000 $,St-Calixte,Lanaudière,,,,,,"57,317 ","585,00 $",,,
chemin des Marroniers,95 000 $,La Conception,Laurentides,,,,,,"61,397.35 ",,,,
"123, rue Guy-Lafleur",95 000 $,Thurso,Outaouais,,,,,,8 461.51 ,,,,
Quartier naturel Baie-Jolie - Par Gestion Fauvel,95 400 $,Trois-Rivières (Pointe-Du-Lac),Mauricie,,,,,,"9,085 ",,,,
"47, rue des Plateaux",95 500 $,St-Gabriel-De-Valcartier,Québec Rive-Nord,,,,,,"34,361.63 ","226,29 $","41,99 $",,
"., chemin Maryla",95 500 $,Cookshire-Eaton,Estrie,,,,,,"70,282.95 ","694,01 $","26,02 $",,
", 48e Rue Nord",96 000 $,St-Georges,Chaudière-Appalaches,,,,,,"33,300 ","525,46 $","23,04 $",,
rue Joel St-Laurent,96 850 $,Ste-Julienne,Lanaudière,,,,,,32 292 ,,,,
"1, rue Bourassa",97 000 $,La Tuque,Mauricie,,,,,,"561,090.36 ",,,,
chemin des Lièvres,97 000 $,Montebello,Outaouais,,,,,,"15,568.91 ","633,00 $",,,
rue Saint-Émilien,98 500 $,St-Alexis-Des-Monts,Mauricie,,,,,,"190,000 ",,,,
"350, 3e rue",99 000 $,Degelis,Bas-Saint-Laurent,,,,,,,"2 380,00 $",,,
"2255, chemin de l'Ile Carillon",99 000 $,St-André-D'Argenteuil,Laurentides,,,,,,"20,720 ",,,,
"449, route Rousseau",99 000 $,ND-De-Montauban,Mauricie,,,,,,"80,000 ",,,,
"250, chemin du Boisé Lang",99 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,,,,,,"43,077 ",,,,
"1241, rue Chalutier",99 000 $,Fabreville,Laval,,,,,,"3,249.62 ","595,75 $",,,
chemin des Bêtes Puantes,99 000 $,Trois-Rives,Mauricie,,,,,,,,,,
rue des Gardénias,99 000 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,,,,,,"56,396 ","645,75 $","49,74 $",,
route 335,99 000 $,St-Calixte,Lanaudière,,,,,,,,,,
rue de Quen,99 500 $,Saint-Gédéon,Saguenay-Lac-Saint-Jean,,,,,,72.15x91.47 ,"155,66 $",,,
"800, rue des Cimes",99 500 $,Ste-Adèle,Laurentides,,,,,,"53,960 ",,,,
", rue du Domaine",99 500 $,Ascot Corner,Estrie,,,,,,32 614 ,"554,04 $","37,14 $",,
"6030, rue Maude",99 500 $,Nantes,Estrie,,,,,,58 200 ,,,,
rue des Sables - Par Construction CRD,99 700 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,,,,,,"6,000 ",,,,
Développement des Fleurs - Phase 3,99 800 $,Lévis,Québec Rive-Sud (Lévis),,,,,,,,,,
"984, chemin Doucet",99 800 $,Trois-Rives,Mauricie,,,,,,"100,843 ","267,12 $","32,15 $",,
chemin Saint-Léon,99 900 $,Rimouski (Ste-Odile-Sur-Rimouski),Bas-Saint-Laurent,,,,,,"160,000 ",,,,
"15, chemin Gibson",99 900 $,Alleyn-Et-Cawood,Outaouais,,,,,,"174,240.00 ",,,,
", chemin Légaré",99 900 $,Sherbrooke (Deauville),Estrie,,,,,,"44,168.63 ",,,,
"25, rue Campeau",99 963 $,Gatineau (Gatineau),Outaouais,4,2,,,,,,,,
Allée du Soleil,99 990 $,Drummondville (St-Nicéphore),Centre-du-Québec,,,,,,"6,780 ",,,,
", chemin des Loutres",99 995 $,Jonquière (Shipshaw),Saguenay-Lac-Saint-Jean,,,,,,"31,288 ",,,,
"895, chemin du Bassin",99 999 $,Bassin,Gaspésie-Îles-de-la-Madeleine,,,,,,"170,000 ",,,,
"140, rue Demers",99 999 $,Ste-Croix,Chaudière-Appalaches,,,,,,"16,587.19 ","1 060,00 $","68,00 $",,
"8A, rue Clavet",100 000 $,Ste-Brigitte-De-Laval,Québec Rive-Nord,,,,,,10 775 ,,,,
"435, route 132",100 000 $,Bonaventure,Gaspésie-Îles-de-la-Madeleine,,,,,,"41,000 ","999,13 $",,,
"3502, rue Pacific",100 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),,,,,,"6,945 ",,,,
chemin de la Presqu'île,100 000 $,St-Mathieu-Du-Parc,Mauricie,,,,,,"43,916.75 ","363,52 $","4,67 $",,
"4190, route Marie-Victorin - Par Construction Maurice Bilodeau",100 000 $,St-Antoine-De-Tilly,Chaudière-Appalaches,,,,,,"15,661 ",,,,
rue L'Orée des Champs,100 000 $,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,,,,,,,,,,
"1087-1089, avenue Lévis",100 000 $,Shawinigan (Shawinigan),Mauricie,3,1,,,,1 999.93 ,"1 887,57 $","30,00 $",,"2 493,00 $"
"95, route 138",100 000 $,Baie-Trinite,Côte-Nord,,,,,,"96,000 ","65,00 $","50,00 $",,
"4890, chemin du Lac  Gratten",100 000 $,Rawdon,Lanaudière,,,,,,"120,394 ",,,,
", chemin de la Presqu'île",100 000 $,St-Mathieu-Du-Parc,Mauricie,,,,,,129 029 ,,,,
rue de la Détente,102 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,"195,000 ",,,,
"363, 5e Chemin du Lac-Sébastien",103 000 $,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,3,1,,1,"39,705.91 ","39,705.91 ","452,75 $","35,23 $",,
rue du Fort de Beaumont - Phase 2 - Par Construction Simon Breton,105 000 $,Beaumont,Chaudière-Appalaches,,,,,,"5,075 ",,,,
Développement Robertson - Phase 2,105 000 $,Pintendre,Québec Rive-Sud (Lévis),,,,,,"4,582 ",,,,
rue du Panorama - Projet Blue Ridge - Par Invesco Habitations,105 000 $,Morin-Heights,Laurentides,,,,,,23 700 ,,,,
rue Principale,105 000 $,Petite-Rivière-St-François,Charlevoix,,,,,,"89,490.08 ","196,00 $",,,
"75, place Raymond-Huot",105 000 $,Sorel-Tracy,Montérégie (Rive-Sud Montréal),,,,,,"5,875 ","923,00 $","24,00 $",,
"25, chemin Pritchard",105 000 $,La Pêche (Wakefield),Outaouais,,,,,,"57,134.84 ","397,01 $","9,11 $",,
"., chemin des Plateaux",105 000 $,Port-Au-Persil,Charlevoix,,,,,,77 005 ,,,,
chemin Ouareau Nord,106 000 $,St-Donat,Lanaudière,,,,,,"43,644 ",,,,
chemin du Lac-à-la-Truite,106 140 $,La Minerve,Laurentides,,,,,,"70,761 ",,,,
rue Lizotte,107 000 $,Chertsey,Lanaudière,,,,,,"71,612 ","733,49 $","1,00 $",,
chemin de la Belle-vue,108 000 $,St-Côme,Lanaudière,,,,,,,,,,
"3491, Sentier Oréade",109 000 $,La Baie,Saguenay-Lac-Saint-Jean,,,,,,"70,000 ","800,00 $","223,00 $",,
"840, rue Notre-Dame",109 900 $,St-Barnabe-Nord,Mauricie,1,,,,,"40,050 ","1 324,31 $","161,00 $",,
"63-65, rue Panoramique",110 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,,,,,,"14,458 ","1 418,49 $","110,23 $",,
rue Principale,110 000 $,Ste-Claire,Chaudière-Appalaches,,,,,,"69,911.60 ",,,,
rue de la Rivière,110 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,"55,093 ",,,,
"103, chemin de l'Île",110 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,,,,,,"92,000 ",,,,
"6, rue de la Chouette-Cendrée",110 000 $,Coaticook,Estrie,,,,,,"65,340.00 ",,,,
"., Grand Rang",110 000 $,Pont-Rouge,Portneuf,,,,,,14 000 ,"1 100,00 $",,,
"225, rang Sainte-Catherine",110 500 $,Les Éboulements,Charlevoix,,,,,,"220,111 ",,,,
"15, chemin de l'Épinette",112 500 $,Lac-Aux-Sables,Mauricie,,,,,,"45,839 ",,,,
"537, chemin de Val-des-Lacs",113 000 $,Val-Des-Lacs,Laurentides,,,,,,"199,240 ","316,32 $","43,51 $",,
"8, chemin Gregalack",113 000 $,Gore,Laurentides,,,,,,"45,208 ","236,00 $","5,00 $",,
place Bellevue,114 000 $,St-Gilles,Chaudière-Appalaches,,,,,,"65,143,000 ","386,62 $",,,
"43, chemin Poplar",114 900 $,La Pêche (Wakefield),Outaouais,,,,,,"20,503.10 ",,,,
"1581, chemin du Domaine",114 999 $,St-Félix-De-Valois,Lanaudière,,,,,,"20,000 ",,,,
"5556, chemin des Hauteurs",115 000 $,Ste-Adèle,Laurentides,,,,,,"90,000 ",,,,
rue de la Grande Ourse,115 000 $,St-Ours,Montérégie (Rive-Sud Montréal),,,,,,"8,021 ","1 000,00 $",,,
chemin des Pionniers Est,115 000 $,Cap-St-Ignace,Chaudière-Appalaches,,,,,,"52,477 ",,,,
rue de la Grande-Ourse,115 000 $,St-Ours,Montérégie (Rive-Sud Montréal),,,,,,"8,803.8 ",,,,
boulevard du Mont-Rolland,115 000 $,St-Hippolyte,Laurentides,,,,,,"43,102 ","340,00 $","24,00 $",,
rue des Loups - Par Gestion Baiefil,115 000 $,Baie-St-Paul,Charlevoix,,,,,,,,,,
Lac-à-Dick,115 000 $,Lac-Du-Cerf,Laurentides,,,,,,"40,000 ",,,,
"18, rue Bellevue",115 000 $,St-Hippolyte,Laurentides,,,,,,"33,035 ",,,,
"442, rue des Deux-Rivières",115 000 $,Morin-Heights,Laurentides,1,1,,1,"1,000 ","5,000 ","1 087,77 $","75,00 $","1 200,00 $",
"100, chemin Lessard",117 000 $,Hébertville,Saguenay-Lac-Saint-Jean,,,,,,"61,566.34 ","438,52 $","88,29 $",,
"62, avenue de Maisonneuve",117 000 $,Baie-Comeau,Côte-Nord,3,1,,1,,"6,459.42 ","1 759,72 $",,,
"1B-925, avenue 8e",118 000 $,Limoilou,Québec Rive-Nord,1,1,,1,441 ,,"1 206,96 $","169,06 $","971,64 $","532,00 $"
District 55 - Par les Constructions Robin Inc.,118 000 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,,,,,,"5,931 ",,,,
route Marie-Victorin,119 000 $,St-Antoine-De-Tilly,Chaudière-Appalaches,,,,,,"25,619.94 ","629,10 $","92,09 $",,
"789, 8e Rang",119 000 $,St-Sylvere,Centre-du-Québec,1,1,1,,,192x165 ,,,,
chemin du Boisé,119 000 $,Château-Richer,Québec Rive-Nord,,,,,,"35,304 ",,,,
", rue Wilson",119 000 $,Mont-Blanc (St-Faustin-Lac-Carré),Laurentides,,,,,,"30,408.05 ","700,00 $",,,
"40, chemin de la Péninsule",119 900 $,Val-Des-Monts,Outaouais,,,,,,"40,009 ",,,,
Boisé Natura - Par Construction CRD,119 900 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,,,,,,50x160 ,,,,
"122-3455, rue Clémenceau",120 000 $,Beauport,Québec Rive-Nord,1,1,,3,400 ,,"1 320,00 $","260,00 $","360,00 $",
"271, chemin Saint-Grégoire",120 000 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),,,,,,"3,680 ",,,,
"13530, 2e Avenue",120 000 $,St-Georges,Chaudière-Appalaches,2,1,1,2,"1,216 ","9,339.85 ","1 145,00 $","55,00 $","1 650,00 $",
"385, chemin Clark",120 000 $,La Pêche (Wakefield),Outaouais,,,,,,"43,783.28 ",,,,
"910, chemin des Hauts-Cantons",120 000 $,Stratford,Estrie,,,,,,"46,761.66 ","539,36 $","32,81 $",,
"2200, boulevard Malcolm-Fraser",122 000 $,La Malbaie,Charlevoix,,,,,,"911,472.9 ",,,,
Rue de la Rivière,122 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,"61,203 ",,,,
"1810, chemin du Parc",122 500 $,Mandeville,Lanaudière,,,,1,400 ,"45,000 ",,,,
rue Gordon,124 000 $,Scotstown,Estrie,,,,,,"239,580.00 ",,,,
7e Rang,124 000 $,Adstock,Chaudière-Appalaches,,,,,,"17,000 ",,,,
", rue des Commissaires",124 900 $,L'Ange-Gardien-Outaouais,Outaouais,,,,,,"48,691.63 ",,,,
"3695, chemin du 3e-Rang",124 900 $,St-Edouard-De-Maskinonge,Mauricie,2,1,,1,,"65,972.01 ","512,00 $","24,00 $","688,00 $",
"38, chemin du Panorama",124 900 $,Val-Des-Monts,Outaouais,,,,,,"48,114 ",,,,
"31, chemin du Plateau",124 900 $,Petite-Rivière-St-François,Charlevoix,,,,,,"34,772.81 ",,,,
"1600, 5e Rang Ouest",125 000 $,Drummondville (Drummondville),Centre-du-Québec,,,,,,"84,000 ","896,50 $","53,86 $",,
"1951, boulevard de la Grande-Baie Sud",125 000 $,La Baie,Saguenay-Lac-Saint-Jean,,,,,,"16,300 ","746,33 $","15,84 $",,
"1216, rue Pelletier",125 000 $,Donnacona,Portneuf,,,,,,"8,406.61 ",,,,
"214, Chemin de Wexford",125 000 $,Shannon,Québec Rive-Nord,,,,,,164.04x262.47 ,,,,
"Lot 5 868, chemin Caron - Par Le Groupe Alexma Laurin Construction Inc.",125 000 $,Lac-Simon,Outaouais,,,,,,"50,030.66 ",,,,
rue Purdie,125 000 $,Gore,Laurentides,,,,,,165.68x278.87 ,,,,
"167, rue Avignon",125 000 $,St-Alexis-De-Matapedia,Gaspésie-Îles-de-la-Madeleine,4,1,1,1,"1,344 ","23,788.24 ","1 930,73 $","76,65 $","1 013,40 $","787,36 $"
chemin de Sainte-Marguerite,125 000 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,,,,,,"42,560 ",,,,
"9, rue Napoléon",125 000 $,Lévis,Québec Rive-Sud (Lévis),,,,,,"3,250 ",,,,
Terrains St-Lambert,125 000 $,St-Lambert-De-Lauzon,Chaudière-Appalaches,,,,,,,,,,
"8, chemin de la Vallée-Bleue",125 000 $,Val-David,Laurentides,1,1,,1,506 ,"1,700 ","850,92 $","6,48 $","1 320,00 $","1 250,00 $"
"502, route 138",125 000 $,Ragueneau,Côte-Nord,4,2,,2,"1,369.17 ","24,302.76 ","1 600,00 $",,"1 660,80 $",
"X, chemin du Lac-Séverin",125 000 $,St-Michel-Des-Saints,Lanaudière,,,,,,"108,360 ","412,00 $","10,00 $",,
"132-1617, rue Shefford",125 000 $,Bromont,Estrie,1,1,,1,450 ,2 750 ,"706,00 $","20,00 $",,
"407-820, rue de Nemours",126 500 $,Charlesbourg,Québec Rive-Nord,2,1,1,4,792.22 ,,"1 450,00 $","238,00 $","720,00 $",
"481, rue Sainte-Marthe",126 500 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,,,,,,"9,036 ","1 069,15 $","40,21 $",,
"423, avenue d'Iberville",127 000 $,Alma,Saguenay-Lac-Saint-Jean,,,,,,"11,052 ","935,61 $","53,75 $",,
"62, rue Jolicoeur",129 000 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,,,,,,"7,400.19 ",,,,
rue du Lynx,129 000 $,St-Ferréol-les-Neiges,Québec Rive-Nord,,,,,,"43,787.59 ","781,00 $",,,
chemin du Haut-Fossambault,129 000 $,St-Augustin-De-Desmaures,Québec Rive-Nord,,,,,,"12,500 ",,,,
chemin de l'Escarpement,129 000 $,Petite-Rivière-St-François,Charlevoix,,,,,,"46,737 ","1 322,40 $","149,79 $",,
"20, chemin Victoria Ouest",129 000 $,Scotstown,Estrie,2,3,,2,"1,400 ","3,291.60 ","2 391,97 $","10,00 $",,
